Name,Code,Link
Barboload,WL(BQAAAAC4B4A7OCLAgCq2s1YOBwAAQAA=),
Blaze Of Glory,WL(BQAAAAB+bIA7+yHAgDKWtdXiiAMAACAA),
Bradluck,WL(BQAAAAAYE4C7ECLAgDKk01oggAMAACAA),
Championship Ring,WL(BQAAAAD9/YC7JCoAgTKAhFBGrpoAAAAI),
Class Ring,WL(BQAAAAClBoA7JyoAgTKAhESGJqIAAAAI),
Daemon Blight,WL(BQAAAAA/wIC72CsAgTKA7Pjw+vIAAAAI),
Driftwood,WL(BQAAAADtpoA7GykAgSJ6jq5+AAAACA==),
Elder Wyvern's Ring,WL(BQAAAAAoDIC7BSoAgSJ6ikh+AAAACA==),
Fealty Oath,WL(BQAAAADHZYC7HysAgSqAtMbCsgAAAAg=),
Finger Ward,WL(BQAAAACjS4A7JSoAgTKAdCQQNJwAAAAI),
Fingertip Pulse Oximeter,WL(BQAAAADnNIC7IioAgSqAeCYkkgAAAAg=),
Frenzied Wrath,WL(BQAAAACseYC7+yHAgCqYMdcCBwAAQAA=),
Harbinger,WL(BQAAAABz0IC7HiLAgDKsWFsrhwMAACAA),
Harmonious Dingledangle,WL(BQAAAADqMIA76CLAgDK4tdZCCQMAACAA),
Insight Ring,WL(BQAAAADeI4C7EioAgSJ6kKxEAAAACA==),
Precious Jamstone,WL(BQAAAACL74A7KSoAgTKAdBRQXKgAAAAI),
Joint Training,WL(BQAAAACF5YA7DyLAgDKiMpbygwMAACAA),
Lethal Catch,WL(BQAAAABCNoA7IyoAgTKAeCxmEJQAAAAI),
Mood Ring,WL(BQAAAABHa4C7JioAgTKAeFpIfqAAAAAI),
Overflow Bloodbag,WL(BQAAAABxI4A7/yHAgDKcs9URiQMAACAA),
Promise Ring,WL(BQAAAADGnoC7JyoAgTKAhBBYEJgAAAAI),
Rivote's Amulet,WL(BQAAAAABSIA7BCLAgDKgNVcgAAMAACAA),
Sacrificial Skeep,WL(BQAAAAAwJoA7/CHAgDKaMlaDcQMAACAA),
Sharklescent,WL(BQAAAAADAIC7DyoAgSJ6jK4OAAAACA==),
Sharksbane,WL(BQAAAADv5IC7KCoAgSqAhBRcpgAAAAg=),
Shell Casing Ring,WL(BQAAAAA8TYA7JioAgTKAdCasJKQAAAAI),
Silicone Ring,WL(BQAAAAAAyIC7JSoAgSqAeCYkngAAAAg=),
Slip 'n' Stun,WL(BQAAAABBeYA7ISLAgDKyNlcjhwMAACAA),
The Protagonizer,WL(BQAAAADy2oA7ZCPAgDK6stYnhwMAACAA),
Theurge,WL(BQAAAAAtA4A7HyLAgDKuNRfyiAMAACAA),
Thumb Cuffs,WL(BQAAAAD2fYA7JCoAgTKAdCZaRpYAAAAI),
Universal Soldier,WL(BQAAAAAXIYC7GyLAgDKqVJoyiQMAACAA),
Vorcanar's Cog,WL(BQAAAACVB4C7AyLAgCKesxYMAACAAA==),
Amalgam,WL(BQAAAADwcIC7Kwbhh5oEEJAeCze44Ujp5PtEPvmc6ymjXlbSSjMYCAAAAAAC),
Armor That Sucks,WL(BQAAAADHGYA77wXBh1oCCDC3DJ8ZLptsEBtjBhgIAAAAAAI=),
Blank Slate,WL(BQAAAABnjoC7lgbhhzIEQDPNOcfUDAYCAAAAgAA=),
Brutal Stampede,WL(BQAAAAAiuYC77QcBiJoM2JOeCgGtYVdeiUXV1ehcjc5WiBQVUTMYCAAAAAAC),
Calamity,WL(BQAAAAB0soA7AQXBh4oCCHAeDHPLobVruOGGG264IfFDGDWDgQAAAAAgAA==),
Cape of Tides,WL(BQAAAAB/WIC7hwbBh4oMKJAeC3u7IUyp6qsvv/nqY7GcdDSDgQAAAAAgAA==),
Claw,WL(BQAAAAD1tYC7AQUBiIoCGHAeDHXLYUOnsmMlO/DA2wmjlDSDgQAAAAAgAA==),
Corrupted Platemail,WL(BQAAAADmIYC7KgbBh4oCCJCeCnOrwchpnntuG2y2ERHEljSDgQAAAAAgAA==),
Deathless Mantle,WL(BQAAAAD0DIA7Kwbhh4oEIJCeCnmroUjlqhOlOlFEgZHFkzSDgQAAAAAgAA==),
Diamond Gauntlets,WL(BQAAAABeYoA7AgXBh4oCCJCeCnOroTYXp3kOm+ew2eYiFjWDgYBoAAAgAA==),
Head of the Snake,WL(BQAAAACW+4C7AgXhh4oMMJCeCn2rATZPWJFFFllYIYkSFjWDgQAAAAAgAA==),
Miasmic Mail,WL(BQAAAADgyIC7Wgbhh4oEEJAeC3e7gUnpnPvkE+ecEyjGETWDgQAAAAAgAA==),
Mosquito's Mantle,WL(BQAAAACa24C7bgcBiIoM2JOeCgGtIU9UXY3O1ehshUhRETWDgQAAAAAgAA==),
Pandemecium,WL(BQAAAABiJIA7AwUBiIoEIHCeC3nDIbb09lPvPfX224ecETWDgQAAAAAgAA==),
Selective Amnesia,WL(BQAAAADqFIA79wQBiIoCGJCeCnWrIbOlvOvOu+6uO2nFDzWDgQAAAAAgAA==),
Smart Armor,WL(BQAAAAD9hYC7AwXBh4oMMFCeCX2jQTZOXGmlFVe6KQaiRjSDgQAAAAAgAA==),
Steel Gauntlets,WL(BQAAAABYgIA7GQXBh4oMEFAeC3e7ATfp5HNOPvk+0WnFEXWAgQAAAAAgAA==),
Tyrant's Truth,WL(BQAAAADJOIA7YwYBiIoEIFAeCnmzIVfuRBHlyfie1EkgETWDgQAAAAAgAA==),
Warped Paradigm,WL(BQAAAADlKIA7LAbhh4oMKFCeCXujAcmnxhkHHPrGycXKdTSDgQAAAAAgAA==),
Arcane Bolt,WL(BQAAAABLCYC7Ey2AgUICGp+fn3M8KgEAAAg=),
Barrelmaker,WL(BQAAAACRNIA7/CyggUIECJ+fn3M8LAEAAAg=),
Boltlash,WL(BQAAAAD/xIC7Yi7AgUIGbp+fn3M8KAEAAAg=),
Buffmeister,WL(BQAAAAC8XIC7/CzggVIUCqepn5+fczwuAQAACA==),
Curse of Malice,WL(BQAAAABHXYA7+i+AgUICxp+fn3M8KAEAAAg=),
Dazzler,WL(BQAAAAA7xIC7+CyAgUIC/p6fn0c8MAEAAAg=),
Dynamo,WL(BQAAAAADGIA7GC6ggUIEWJ+fnwk8KAEAAAg=),
Frostburn,WL(BQAAAAB9DoC7IS7ggUoUdFKfn59DOCYBAAAI),
Frozen Orb,WL(BQAAAADVFIA7+SyAgUICAJ+fn0M8MgEAAAg=),
Garlic Breath,WL(BQAAAADbw4C7ZS7ggUIUcJWVlUU8KAEAAAg=),
Gelatinous Cube,WL(BQAAAACbHIC7+iyAgUICBp+fn0U8NAEAAAg=),
Glacial Cascade,WL(BQAAAAA/DoA7/yyAgUICFJ+fn0M8NgEAAAg=),
Great Wake,WL(BQAAAAApyYC7HC7ggUoUSF6fn59zOCYBAAAI),
Greatest Spell Ever,WL(BQAAAABNFoA7/S2AgUoCEk6fn58JOCYBAAAI),
Hellfire,WL(BQAAAADxRYC7/C2AgUoCeEyfn58JOCYBAAAI),
Holey Spell-nade,WL(BQAAAAAEJoA7AC7AgUoGDmSfn58JOCYBAAAI),
Inflammation,WL(BQAAAACIS4C7/SzAgUIGDp+fnwk8OgEAAAg=),
Laserhand,WL(BQAAAABLyIC7+SyggUIEAp+fnwk8PAEAAAg=),
Lovestruck Beau,WL(BQAAAADQKIA7ZS+AgUICrp+fn3M8KAEAAAg=),
Marshmallow,WL(BQAAAADkoIA7+iyAgUICBJ+fnwk8QAEAAAg=),
Rainbolt,WL(BQAAAACAhoC7GC7AgUIGVp+fn3M8KAEAAAg=),
Reviver,WL(BQAAAADQT4A7/SyAgUICDJ+fn0c8QgEAAAg=),
Sawblades,WL(BQAAAACteoC7Fi3AgUIGHp+fn0U8RAEAAAg=),
Skullantir,WL(BQAAAAAHoIC7Gy2AgSoUIHM8PgEAAAg=),
Smithy's Ire,WL(BQAAAADrToC72i+ggUIEwp+fnwk8KAEAAAg=),
Threads of Fate,WL(BQAAAAB+44C7/yyggUIEFp+fn3M8RgEAAAg=),
Tidebreaker,WL(BQAAAACx+oA7Hi7ggUIUYJ+fn0M8KAEAAAg=),
Time Skip,WL(BQAAAAAZAIC79yzAgUIG/J6fn3M8SAEAAAg=),
Twister,WL(BQAAAAAmf4C7BC2AgUICGJ+fn7k9SgEAAAg=),
Wicked Gossip,WL(BQAAAAAGwoA7ui+AgUICwJ+fn0U8KAEAAAg=),
Afterburner,WL(BQAAAADAP4A78mFAgToEtPhIUnwYAQAACA==),
Ancient Deity,WL(BQAAAAB77YC78mEggToGuvpIUhANAQAACA==),
Bad Egg,WL(BQAAAABhtIA782FAgToEtPxIUoAaAQAACA==),
Body Rune,WL(BQAAAABlM4A7+2BggDICwNx8Xt4AAAAI),
Bronco Buster,WL(BQAAAABdn4C782EggTIGuv5IgB4BAAAI),
Counterfeint,WL(BQAAAAAbkoC7I2JggDoCwDhTZoA6AQAACA==),
Crying Apple,WL(BQAAAAB9s4A7BmJggDICkC5ReIgAAAAI),
Cursed Wit,WL(BQAAAADsJIA75qlRgTIEtPRIePYAAAAI),
Dusa's Visage,WL(BQAAAABvuIA7GmIggSoGnjaBiAAAAAg=),
